timestamp,dx,dy
1744381348.0150092,1,1
1744381348.021017,1,1
1744381348.0311286,-2,-1
1744381348.036949,2,2
1744381348.0472453,-1,-2
1744381348.0535102,2,2
1744381348.0631597,-2,0
1744381348.0709672,2,1
1744381348.0789664,2,2
1744381348.086987,1,2
1744381348.0950525,-5,-8
1744381348.1029367,0,1
1744381348.1110985,-1,-1
1744381348.118972,1,1
1744381348.1271172,0,0
1744381348.1351693,0,0
1744381348.1429932,-1,-1
1744381348.1509542,1,1
1744381348.1590326,0,0
1744381348.1669278,2,2
1744381348.1752274,-2,-1
1744381348.1829977,3,3
1744381348.191129,-2,-1
1744381348.199004,4,2
1744381348.2071946,-1,2
1744381348.215138,5,6
1744381348.2230935,-5,-7
1744381348.2309852,8,9
1744381348.2390928,-4,-5
1744381348.2470646,9,9
1744381348.255334,-10,-11
1744381348.2630203,12,12
1744381348.2708886,21,21
1744381348.279014,-30,-33
1744381348.287001,21,21
1744381348.295003,-26,-24
1744381348.302911,11,12
1744381348.3111649,-12,-12
1744381348,3,6
1744381348.3270798,-5,-7
1744381348.337007,1,1
1744381348.3450015,-4,-4
1744381348.353013,1,2
1744381348.3611362,0,-2
1744381348.3690085,0,1
1744381348.3771176,-1,-1
1744381348.3849385,0,0
1744381348.392956,0,-1
1744381348.4009583,0,0
1744381348.417098,0,0
1744381348.4250004,0,-1
1744381348.4329834,0,1
1744381348.4410355,0,0
1744381348,0,1
1744381348.4571478,0,1
1744381348.4650571,1,-1
1744381348.472974,1,1
1744381348.4812293,1,3
1744381348.4889736,-2,-4
1744381348.4971735,1,2
1744381348.5052004,-2,-3
1744381348.5130882,0,0
1744381348.521033,1,1
1744381348.5290742,-1,-2
1744381348.5369873,0,1
1744381348.5529788,0,0
1744381348.5610058,0,-1
1744381348.5770829,0,1
1744381348.601026,0,-1
1744381348.6909528,0,1
1744381348.7069929,0,0
1744381348.715217,0,1
1744381348.7309601,0,-2
1744381348.7391093,0,0
1744381348.7631772,0,1
1744381348.7709875,-1,2
1744381348.779045,-1,-1
1744381348.787033,-3,1
1744381348.795001,3,-2
1744381348.8030133,-2,1
1744381348.8110065,3,-1
1744381348.818981,-2,1
1744381348.8270514,2,-2
1744381348.834989,-1,1
1744381348.8429909,2,-1
1744381348.850963,-1,0
1744381348.859095,1,0
1744381348.8669715,0,0
1744381348.8751476,-1,0
1744381348.882964,-1,0
1744381348.8911614,1,1
1744381348.8989747,-1,0
1744381348.9072714,1,-1
1744381348.9250946,1,1
1744381348.931177,0,0
1744381349.0370014,-1,-1
1744381349,1,0
1744381349.1809182,2,1
1744381349.1890893,4,1
1744381349.199185,7,1
1744381349.2051528,8,0
1744381349.2150044,11,1
1744381349.2212312,6,0
1744381349.2309854,12,0
1744381349.2369733,10,0
1744381349.2471056,-55,-3
1744381349.254998,7,-1
1744381349.2629893,6,1
1744381349.2711694,10,1
1744381349.2790625,9,1
1744381349.2870412,4,0
1744381349.2950935,-34,-2
1744381349.3032496,5,1
1744381349.3110547,-7,-2
1744381349.318985,3,1
1744381349.327119,-6,-1
1744381349.334891,0,1
1744381349.3429897,-1,-1
1744381349.6250904,0,0
1744381349.6329875,0,1
1744381349.6411815,0,0
1744381349.6490355,3,1
1744381349.6576116,-1,0
1744381349.6649964,2,0
1744381349.6732266,-3,-1
1744381349.6811242,3,1
1744381349.6891906,-3,-2
1744381349.6969876,7,3
1744381349.7050157,-2,-1
1744381349.7130373,8,2
1744381349.721058,10,2
1744381349.728962,19,4
1744381349.737004,14,3
1744381349.7450385,-46,-11
1744381349.7532337,12,1
1744381349.7609441,-19,-2
1744381349.7689593,10,2
1744381349.7770061,-10,-2
1744381349.7849717,3,1
1744381349.7930994,-4,-2
1744381349.800954,3,1
1744381349.8110888,-4,0
1744381349.816966,2,1
1744381349.8270802,-3,-1
1744381349.8329685,2,1
1744381349.8430321,-4,-2
1744381349.851131,1,0
1744381349.8990085,-1,1
1744381350,0,0
1744381349.9470434,1,0
1744381349.9709785,-1,-1
1744381349.9950745,0,1
1744381350.091351,0,-1
1744381350.2610629,0,1
1744381350.3250408,0,-1
1744381350.3490071,0,1
1744381350.3650432,1,-1
1744381350.3731055,-1,1
1744381350.3891044,1,-1
1744381350.3971105,1,0
1744381350.4052684,-1,0
1744381350.4149745,2,0
1744381350.4211278,2,0
1744381350.4311373,2,0
1744381350.4370303,1,0
1744381350.4469898,-6,0
1744381350.452951,3,-1
1744381350.4629977,-4,1
1744381350.470928,2,-1
